,시가,고가,저가,종가,등락률,기관,프로그램
61,60000.0,60400.0,59000.0,59500.0,-0.83,127734.0,-1295250.0
62,60700.0,60800.0,59700.0,60000.0,-1.48,-238001.0,-1737980.0
63,61000.0,61100.0,60500.0,60900.0,0.0,-202689.0,1040813.0
64,61000.0,61400.0,60400.0,60900.0,0.83,621683.0,1400618.0
65,60000.0,60400.0,59900.0,60400.0,1.17,758916.0,1001175.0
66,60500.0,60700.0,59500.0,59700.0,-0.33,-3336344.0,948155.0
67,58700.0,59900.0,58500.0,59900.0,1.53,2005178.0,568867.0
68,59400.0,59900.0,58700.0,59000.0,0.51,-431413.0,-106117.0
69,57500.0,59200.0,57500.0,58700.0,0.86,1590890.0,1210489.0
70,58300.0,59000.0,58200.0,58200.0,0.0,302067.0,-64452.0
71,58300.0,58800.0,57900.0,58200.0,0.52,1067096.0,-2301351.0
72,57700.0,58200.0,57700.0,57900.0,0.17,-157605.0,-1280664.0
73,57700.0,58600.0,57600.0,57800.0,-1.37,-302216.0,-2153189.0
74,58400.0,58800.0,57400.0,58600.0,0.69,-1784682.0,-1205527.0
75,59100.0,59700.0,57800.0,58200.0,-1.69,-4025177.0,-1564825.0
76,59100.0,60000.0,59000.0,59200.0,-0.17,624218.0,810166.0
77,59800.0,59900.0,59100.0,59300.0,-0.34,189886.0,-1301652.0
78,60700.0,60800.0,59300.0,59500.0,-2.46,-2151034.0,-1614014.0
79,61100.0,61300.0,60600.0,61000.0,0.0,-1703549.0,-704839.0
80,60900.0,61000.0,60500.0,61000.0,0.99,-1867006.0,-176837.0
81,60200.0,60800.0,59900.0,60400.0,2.37,1491903.0,-1155085.0
82,59300.0,59400.0,58200.0,59000.0,-0.34,-1081621.0,-1235137.0
83,59900.0,60000.0,59100.0,59200.0,1.37,-1455578.0,-2495382.0
84,58200.0,59300.0,57800.0,58400.0,-0.51,320935.0,-2283089.0
85,57400.0,58700.0,57200.0,58700.0,3.89,2888255.0,432810.0
86,56100.0,57300.0,55800.0,56500.0,1.62,-897885.0,-689447.0
87,55200.0,55800.0,55100.0,55600.0,-1.42,-2508980.0,-3695100.0
88,55600.0,56700.0,55500.0,56400.0,3.68,265036.0,67671.0
89,54600.0,55100.0,54100.0,54400.0,0.37,59529.0,-754462.0
90,54100.0,54800.0,54100.0,54200.0,0.37,-952340.0,-1518532.0
91,56000.0,56100.0,54000.0,54000.0,-2.53,-509866.0,-5456279.0
92,56100.0,56300.0,55400.0,55400.0,-0.36,428036.0,-2537813.0
93,56300.0,56300.0,55600.0,55600.0,-1.42,-2848392.0,-750252.0
94,56400.0,56500.0,55700.0,56400.0,0.0,-3231228.0,1322177.0
95,56400.0,56800.0,56100.0,56400.0,0.53,-1178636.0,-273748.0
96,55800.0,56600.0,55400.0,56100.0,0.36,-1193461.0,158128.0
97,56200.0,56900.0,55800.0,55900.0,0.9,-1567729.0,1431318.0
98,57600.0,57600.0,55300.0,55400.0,-4.15,-5264447.0,-743373.0
99,59000.0,59200.0,57800.0,57800.0,-1.03,-798341.0,-1199135.0
100,58900.0,59900.0,58000.0,58400.0,0.69,3604406.0,1844748.0
101,58000.0,58400.0,57700.0,58000.0,-1.19,640158.0,-987968.0
102,59400.0,59600.0,58000.0,58700.0,-0.51,225932.0,-460966.0
103,58200.0,59000.0,57700.0,59000.0,1.37,-52490.0,-48633.0
104,58000.0,59500.0,57800.0,58200.0,0.69,918477.0,-737525.0
105,57600.0,58300.0,57500.0,57800.0,0.52,-628631.0,-719237.0
106,57900.0,58400.0,57100.0,57500.0,-0.86,-3358271.0,-2132406.0
107,57100.0,58400.0,57100.0,58000.0,1.93,147756.0,-192120.0
108,57300.0,57500.0,56300.0,56900.0,-0.7,-2880624.0,-1500531.0
109,57200.0,58100.0,57000.0,57300.0,0.88,-622191.0,-2764121.0
110,57800.0,57900.0,56700.0,56800.0,-1.9,-1592111.0,-2602624.0
111,59500.0,59600.0,57700.0,57900.0,-1.86,-2185878.0,-3000203.0
112,59700.0,60100.0,59000.0,59000.0,0.0,-1028015.0,-166848.0
113,60300.0,60400.0,58600.0,59000.0,0.68,-1453164.0,-1350312.0
114,57000.0,58800.0,56400.0,58600.0,5.4,214491.0,4380719.0
115,54300.0,55700.0,54300.0,55600.0,2.58,1564238.0,2686670.0
116,54000.0,54400.0,53700.0,54200.0,0.18,-1060195.0,-358753.0
117,54700.0,54700.0,53800.0,54100.0,-1.1,-2749215.0,-286420.0
118,55300.0,55500.0,54700.0,54700.0,-1.08,-911194.0,-828382.0
119,55200.0,55400.0,54800.0,55300.0,2.03,1532617.0,1437467.0
120,54800.0,54800.0,54000.0,54200.0,-0.37,-1177682.0,-656335.0
121,54200.0,54700.0,54100.0,54400.0,1.12,361430.0,-145872.0
122,54800.0,54800.0,53800.0,53800.0,-1.65,41031.0,13313.0
